Table,Number of Records
acquisition_sample,6264
agricultural_acquisition,810
branded_food,1142610
fndds_derivation,49
fndds_ingredient_nutrient_value,151580
food,1185090
food_attribute,1231344
food_attribute_type,5
food_calorie_conversion_factor,4860
food_category,28
food_component,3066
food_nutrient,15324912
food_nutrient_conversion_factor,10999
food_nutrient_derivation,64
food_nutrient_source,10
food_portion,56893
food_protein_conversion_factor,6202
food_update_log_entry,790432
foundation_food,140
input_food,24896
lab_method,270
lab_method_code,292
lab_method_nutrient,1005
market_acquisition,5327
measure_unit,122
nutrient,463
nutrient_incoming_name,730
retention_factor,270
sample_food,1982
sr_legacy_food,7793
sub_sample_food,19126
sub_sample_result,78492
survey_fndds_food,7083
wweia_food_category,167
